date_vente,region,magasin,type_produit,remise,image_produit,prix_vente,profit
2022-07-01,Nouvelle-Aquitaine,Marseille Prado,Lunettes de vue,0.2,https://example.com/vue.jpg,96.31,24.7
2024-10-20,Occitanie,Lyon Part-Dieu,Lunettes enfant,0.1,https://example.com/enfant.jpg,101.29,15.32
2023-12-05,Provence-Alpes-Côte d'Azur,Bordeaux Centre,Lunettes enfant,0.4,https://example.com/enfant.jpg,89.74,38.79
2023-05-25,Provence-Alpes-Côte d'Azur,Paris République,Accessoires,0.0,https://example.com/accessoires.jpg,171.5,62.28
2021-08-16,Auvergne-Rhône-Alpes,Toulouse Jean Jaurès,Lunettes de vue,0.1,https://example.com/vue.jpg,202.39,88.53
2021-08-16,Île-de-France,Marseille Prado,Lunettes de vue,0.0,https://example.com/vue.jpg,239.55,97.02
2021-03-26,Auvergne-Rhône-Alpes,Bordeaux Centre,Lunettes enfant,0.4,https://example.com/enfant.jpg,174.83,45.84
2024-06-18,Île-de-France,Marseille Prado,Lunettes de vue,0.0,https://example.com/vue.jpg,90.55,23.87
2023-05-28,Auvergne-Rhône-Alpes,Lyon Part-Dieu,Lunettes de vue,0.1,https://example.com/vue.jpg,115.47,22.32
2023-10-31,Auvergne-Rhône-Alpes,Bordeaux Centre,Lunettes de vue,0.2,https://example.com/vue.jpg,169.16,66.34
2021-01-31,Provence-Alpes-Côte d'Azur,Toulouse Jean Jaurès,Lunettes de soleil,0.3,https://example.com/soleil.jpg,98.16,32.97
2024-11-17,Île-de-France,Lyon Part-Dieu,Accessoires,0.3,https://example.com/accessoires.jpg,220.2,49.93
2024-04-30,Nouvelle-Aquitaine,Bordeaux Centre,Accessoires,0.15,https://example.com/accessoires.jpg,211.86,92.8
2021-11-07,Nouvelle-Aquitaine,Toulouse Jean Jaurès,Lunettes de vue,0.15,https://example.com/vue.jpg,176.18,67.01
2021-09-23,Auvergne-Rhône-Alpes,Lyon Part-Dieu,Lunettes de vue,0.1,https://example.com/vue.jpg,63.11,26.18
2021-09-25,Auvergne-Rhône-Alpes,Toulouse Jean Jaurès,Lunettes enfant,0.15,https://example.com/enfant.jpg,263.86,53.35
2022-03-21,Provence-Alpes-Côte d'Azur,Bordeaux Centre,Accessoires,0.1,https://example.com/accessoires.jpg,179.14,58.72
2023-02-06,Île-de-France,Lyon Part-Dieu,Accessoires,0.2,https://example.com/accessoires.jpg,175.04,78.29
2022-09-23,Auvergne-Rhône-Alpes,Paris République,Lunettes enfant,0.1,https://example.com/enfant.jpg,238.96,60.9
2022-03-02,Nouvelle-Aquitaine,Marseille Prado,Accessoires,0.3,https://example.com/accessoires.jpg,232.74,63.08
2023-06-13,Île-de-France,Paris République,Lunettes de soleil,0.0,https://example.com/soleil.jpg,114.3,35.56
2021-07-23,Auvergne-Rhône-Alpes,Toulouse Jean Jaurès,Lunettes enfant,0.15,https://example.com/enfant.jpg,76.44,12.49
2022-03-03,Île-de-France,Bordeaux Centre,Lunettes de vue,0.15,https://example.com/vue.jpg,88.51,19.27
2022-06-19,Provence-Alpes-Côte d'Azur,Marseille Prado,Lunettes de soleil,0.0,https://example.com/soleil.jpg,277.4,68.48
2022-10-28,Nouvelle-Aquitaine,Bordeaux Centre,Accessoires,0.0,https://example.com/accessoires.jpg,106.2,16.23
2024-02-21,Île-de-France,Toulouse Jean Jaurès,Lunettes de vue,0.0,https://example.com/vue.jpg,210.27,51.46
2021-10-19,Nouvelle-Aquitaine,Bordeaux Centre,Accessoires,0.4,https://example.com/accessoires.jpg,160.69,50.39
2023-01-21,Auvergne-Rhône-Alpes,Lyon Part-Dieu,Accessoires,0.3,https://example.com/accessoires.jpg,188.7,29.4
2023-05-15,Occitanie,Lyon Part-Dieu,Lunettes de vue,0.0,https://example.com/vue.jpg,183.78,56.89
2021-03-09,Île-de-France,Toulouse Jean Jaurès,Lunettes de vue,0.1,https://example.com/vue.jpg,239.05,93.21
2023-06-07,Nouvelle-Aquitaine,Bordeaux Centre,Lunettes de soleil,0.1,https://example.com/soleil.jpg,302.4,58.61
2021-09-06,Île-de-France,Toulouse Jean Jaurès,Accessoires,0.1,https://example.com/accessoires.jpg,70.05,30.71
2021-04-05,Auvergne-Rhône-Alpes,Marseille Prado,Lunettes enfant,0.0,https://example.com/enfant.jpg,257.99,70.82
2024-10-17,Auvergne-Rhône-Alpes,Bordeaux Centre,Lunettes enfant,0.3,https://example.com/enfant.jpg,151.43,42.63
2024-11-10,Nouvelle-Aquitaine,Lyon Part-Dieu,Lunettes enfant,0.3,https://example.com/enfant.jpg,90.67,27.6
2024-03-26,Provence-Alpes-Côte d'Azur,Paris République,Accessoires,0.0,https://example.com/accessoires.jpg,156.16,41.84
2022-03-21,Île-de-France,Lyon Part-Dieu,Accessoires,0.15,https://example.com/accessoires.jpg,258.74,89.45
2021-05-23,Île-de-France,Bordeaux Centre,Lunettes de vue,0.0,https://example.com/vue.jpg,234.33,47.66
2023-09-26,Auvergne-Rhône-Alpes,Bordeaux Centre,Lunettes de soleil,0.15,https://example.com/soleil.jpg,62.96,26.83
2022-10-05,Île-de-France,Bordeaux Centre,Accessoires,0.3,https://example.com/accessoires.jpg,238.21,97.78
2021-06-28,Nouvelle-Aquitaine,Bordeaux Centre,Lunettes enfant,0.15,https://example.com/enfant.jpg,218.05,74.89
2022-12-24,Occitanie,Marseille Prado,Accessoires,0.1,https://example.com/accessoires.jpg,174.55,67.52
2021-02-20,Auvergne-Rhône-Alpes,Paris République,Lunettes de soleil,0.4,https://example.com/soleil.jpg,161.67,58.61
2024-08-20,Occitanie,Lyon Part-Dieu,Accessoires,0.2,https://example.com/accessoires.jpg,101.82,29.76
2022-01-13,Île-de-France,Marseille Prado,Lunettes de soleil,0.0,https://example.com/soleil.jpg,142.93,28.11
2023-08-26,Provence-Alpes-Côte d'Azur,Toulouse Jean Jaurès,Lunettes de vue,0.1,https://example.com/vue.jpg,101.34,25.06
2022-04-01,Nouvelle-Aquitaine,Bordeaux Centre,Lunettes de soleil,0.2,https://example.com/soleil.jpg,144.94,60.2
2023-01-30,Île-de-France,Lyon Part-Dieu,Lunettes enfant,0.0,https://example.com/enfant.jpg,323.32,113.08
2023-03-10,Nouvelle-Aquitaine,Toulouse Jean Jaurès,Accessoires,0.0,https://example.com/accessoires.jpg,178.81,73.24
2021-09-27,Île-de-France,Paris République,Accessoires,0.3,https://example.com/accessoires.jpg,105.46,43.59
2024-11-16,Île-de-France,Lyon Part-Dieu,Lunettes enfant,0.0,https://example.com/enfant.jpg,267.0,82.28
2024-02-06,Île-de-France,Marseille Prado,Lunettes de soleil,0.15,https://example.com/soleil.jpg,266.47,74.87
2024-10-03,Auvergne-Rhône-Alpes,Toulouse Jean Jaurès,Accessoires,0.1,https://example.com/accessoires.jpg,124.55,34.72
2024-07-30,Occitanie,Lyon Part-Dieu,Accessoires,0.2,https://example.com/accessoires.jpg,236.97,67.11
2023-05-23,Provence-Alpes-Côte d'Azur,Marseille Prado,Lunettes de soleil,0.2,https://example.com/soleil.jpg,124.28,53.92
2024-09-07,Occitanie,Bordeaux Centre,Lunettes de soleil,0.4,https://example.com/soleil.jpg,83.55,16.3
2021-05-10,Occitanie,Lyon Part-Dieu,Lunettes de soleil,0.0,https://example.com/soleil.jpg,202.43,39.58
2021-10-14,Nouvelle-Aquitaine,Bordeaux Centre,Accessoires,0.1,https://example.com/accessoires.jpg,79.82,21.25
2021-03-08,Auvergne-Rhône-Alpes,Toulouse Jean Jaurès,Lunettes enfant,0.15,https://example.com/enfant.jpg,264.71,103.39
2022-04-20,Auvergne-Rhône-Alpes,Toulouse Jean Jaurès,Lunettes enfant,0.3,https://example.com/enfant.jpg,220.37,89.4
2022-07-22,Île-de-France,Toulouse Jean Jaurès,Lunettes de vue,0.0,https://example.com/vue.jpg,259.67,103.26
2022-02-01,Occitanie,Bordeaux Centre,Lunettes de soleil,0.0,https://example.com/soleil.jpg,154.81,50.25
2024-04-24,Provence-Alpes-Côte d'Azur,Bordeaux Centre,Lunettes enfant,0.0,https://example.com/enfant.jpg,116.68,47.53
2022-06-05,Nouvelle-Aquitaine,Marseille Prado,Lunettes de soleil,0.1,https://example.com/soleil.jpg,239.1,49.69
2022-02-15,Auvergne-Rhône-Alpes,Lyon Part-Dieu,Accessoires,0.15,https://example.com/accessoires.jpg,84.04,27.7
2023-03-04,Île-de-France,Marseille Prado,Lunettes enfant,0.15,https://example.com/enfant.jpg,157.34,39.11
2021-07-25,Provence-Alpes-Côte d'Azur,Bordeaux Centre,Accessoires,0.0,https://example.com/accessoires.jpg,94.87,22.0
2024-03-17,Occitanie,Lyon Part-Dieu,Lunettes de vue,0.2,https://example.com/vue.jpg,151.53,27.26
2021-04-19,Provence-Alpes-Côte d'Azur,Toulouse Jean Jaurès,Lunettes enfant,0.15,https://example.com/enfant.jpg,91.51,23.74
2024-12-11,Auvergne-Rhône-Alpes,Marseille Prado,Lunettes enfant,0.1,https://example.com/enfant.jpg,71.11,11.41
2024-02-02,Nouvelle-Aquitaine,Marseille Prado,Lunettes de vue,0.15,https://example.com/vue.jpg,166.54,42.59
2021-10-18,Occitanie,Marseille Prado,Lunettes de soleil,0.2,https://example.com/soleil.jpg,183.16,53.56
2021-01-09,Nouvelle-Aquitaine,Bordeaux Centre,Lunettes enfant,0.0,https://example.com/enfant.jpg,193.02,49.67
2024-04-05,Provence-Alpes-Côte d'Azur,Lyon Part-Dieu,Lunettes de vue,0.3,https://example.com/vue.jpg,83.52,31.85
2023-10-30,Provence-Alpes-Côte d'Azur,Toulouse Jean Jaurès,Accessoires,0.0,https://example.com/accessoires.jpg,91.68,21.47
2023-12-01,Île-de-France,Bordeaux Centre,Lunettes de vue,0.3,https://example.com/vue.jpg,73.77,12.72
2024-02-01,Occitanie,Toulouse Jean Jaurès,Accessoires,0.2,https://example.com/accessoires.jpg,218.87,45.91
2021-04-19,Provence-Alpes-Côte d'Azur,Paris République,Lunettes de vue,0.15,https://example.com/vue.jpg,63.28,25.06
2022-06-08,Auvergne-Rhône-Alpes,Paris République,Lunettes enfant,0.0,https://example.com/enfant.jpg,311.73,106.23
2021-06-19,Auvergne-Rhône-Alpes,Toulouse Jean Jaurès,Lunettes de soleil,0.3,https://example.com/soleil.jpg,213.66,69.05
2024-06-14,Nouvelle-Aquitaine,Paris République,Lunettes enfant,0.0,https://example.com/enfant.jpg,316.53,98.62
2023-06-30,Auvergne-Rhône-Alpes,Lyon Part-Dieu,Lunettes enfant,0.2,https://example.com/enfant.jpg,252.84,94.74
2022-04-29,Provence-Alpes-Côte d'Azur,Lyon Part-Dieu,Accessoires,0.3,https://example.com/accessoires.jpg,179.83,37.56
2021-04-03,Auvergne-Rhône-Alpes,Bordeaux Centre,Lunettes enfant,0.0,https://example.com/enfant.jpg,307.28,65.43
2022-03-31,Occitanie,Toulouse Jean Jaurès,Lunettes de vue,0.3,https://example.com/vue.jpg,192.14,36.33
2022-04-20,Nouvelle-Aquitaine,Bordeaux Centre,Lunettes de soleil,0.15,https://example.com/soleil.jpg,130.93,32.97
2023-12-02,Occitanie,Lyon Part-Dieu,Lunettes enfant,0.15,https://example.com/enfant.jpg,239.22,55.54
2023-07-20,Provence-Alpes-Côte d'Azur,Lyon Part-Dieu,Lunettes de soleil,0.3,https://example.com/soleil.jpg,169.65,72.03
