date_vente;region;magasin;type_produit;Sexe_Client;remise;image_produit;prix_vente;profit;Âge_Client;saison;Alerte_Produit;marge_moyenne
2022-07-01;Nouvelle-Aquitaine;Marseille Prado;Lunettes de vue;Homme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;65.74;17.81;32;Été;✅ OK;0.27
2024-10-20;Occitanie;Lyon Part-Dieu;Lunettes de soleil;Femme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;128.5;46.44;21;Automne;✅ OK;0.36
2023-12-05;Provence-Alpes-Côte d'Azur;Bordeaux Centre;Lunettes enfant;Femme;0.0;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;98.43;32.56;43;Hiver;✅ OK;0.33
2023-05-25;Provence-Alpes-Côte d'Azur;Paris République;Lunettes de soleil;Femme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;239.66;92.86;56;Printemps;✅ OK;0.39
2021-08-16;Auvergne-Rhône-Alpes;Toulouse Jean Jaurès;Lunettes de vue;Femme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;177.66;75.66;49;Été;✅ OK;0.43
2021-08-16;Île-de-France;Marseille Prado;Accessoires;Homme;0.15;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;206.96;76.9;48;Été;✅ OK;0.37
2021-03-26;Auvergne-Rhône-Alpes;Bordeaux Centre;Lunettes de vue;Homme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;300.41;66.51;48;Printemps;✅ OK;0.22
2024-06-18;Île-de-France;Marseille Prado;Accessoires;Homme;0.2;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;90.27;26.49;45;Été;✅ OK;0.29
2023-05-28;Auvergne-Rhône-Alpes;Lyon Part-Dieu;Lunettes enfant;Homme;0.2;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;274.1;100.52;53;Printemps;✅ OK;0.37
2023-10-31;Auvergne-Rhône-Alpes;Bordeaux Centre;Lunettes de soleil;Femme;0.1;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;227.19;89.73;38;Automne;✅ OK;0.39
2021-01-31;Provence-Alpes-Côte d'Azur;Toulouse Jean Jaurès;Lunettes de vue;Homme;0.3;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;61.82;13.38;56;Hiver;⚠️ À vérifier;0.22
2024-11-17;Île-de-France;Lyon Part-Dieu;Accessoires;Enfant;0.1;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;199.15;63.27;13;Automne;✅ OK;0.32
2024-04-30;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de soleil;Homme;0.3;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;219.69;94.87;45;Printemps;✅ OK;0.43
2021-11-07;Nouvelle-Aquitaine;Toulouse Jean Jaurès;Lunettes de vue;Homme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;321.42;112.95;27;Automne;✅ OK;0.35
2021-09-23;Auvergne-Rhône-Alpes;Lyon Part-Dieu;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;279.4;87.26;49;Automne;✅ OK;0.31
2021-09-25;Auvergne-Rhône-Alpes;Toulouse Jean Jaurès;Lunettes de soleil;Homme;0.3;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;239.56;86.15;54;Automne;✅ OK;0.36
2022-03-21;Provence-Alpes-Côte d'Azur;Bordeaux Centre;Lunettes de vue;Homme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;209.73;66.83;38;Printemps;✅ OK;0.32
2023-02-06;Île-de-France;Lyon Part-Dieu;Lunettes de vue;Homme;0.2;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;146.29;34.69;43;Hiver;✅ OK;0.24
2022-09-23;Auvergne-Rhône-Alpes;Paris République;Lunettes de vue;Homme;0.15;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;112.07;30.5;54;Automne;✅ OK;0.27
2022-03-02;Nouvelle-Aquitaine;Marseille Prado;Lunettes de vue;Femme;0.4;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;118.86;47.48;45;Printemps;✅ OK;0.4
2023-06-13;Île-de-France;Paris République;Lunettes de vue;Femme;0.4;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;186.03;60.75;42;Été;✅ OK;0.33
2021-07-23;Auvergne-Rhône-Alpes;Toulouse Jean Jaurès;Lunettes de vue;Homme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;76.72;21.34;30;Été;✅ OK;0.28
2022-03-03;Île-de-France;Bordeaux Centre;Lunettes de vue;Femme;0.15;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;112.82;20.74;45;Printemps;✅ OK;0.18
2022-06-19;Provence-Alpes-Côte d'Azur;Marseille Prado;Lunettes de vue;Femme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;342.05;63.11;24;Été;✅ OK;0.18
2022-10-28;Nouvelle-Aquitaine;Bordeaux Centre;Accessoires;Femme;0.0;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;291.31;56.91;48;Automne;✅ OK;0.2
2024-02-21;Île-de-France;Toulouse Jean Jaurès;Lunettes de soleil;Femme;0.15;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;125.77;53.81;34;Hiver;✅ OK;0.43
2021-10-19;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;304.73;133.22;29;Automne;✅ OK;0.44
2023-01-21;Auvergne-Rhône-Alpes;Lyon Part-Dieu;Lunettes de soleil;Femme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;110.41;40.85;35;Hiver;✅ OK;0.37
